ID,Cropping,Denoising,PostResizeSharpening,JPEG,code
304,651,1,0.672,85.0,crop=651_denoising=1_sharpening=0.672
305,651,1,0.838,85.0,crop=651_denoising=1_sharpening=0.838
306,651,1,1.003,85.0,crop=651_denoising=1_sharpening=1.003
307,651,1,1.169,85.0,crop=651_denoising=1_sharpening=1.169
308,651,1,1.334,85.0,crop=651_denoising=1_sharpening=1.334
309,651,1,1.5,85.0,crop=651_denoising=1_sharpening=1.5
310,651,4,0.01,85.0,crop=651_denoising=4_sharpening=0.01
311,651,4,0.176,85.0,crop=651_denoising=4_sharpening=0.176
312,651,4,0.341,85.0,crop=651_denoising=4_sharpening=0.341
313,651,4,0.507,85.0,crop=651_denoising=4_sharpening=0.507
314,651,4,0.672,85.0,crop=651_denoising=4_sharpening=0.672
315,651,4,0.838,85.0,crop=651_denoising=4_sharpening=0.838
316,651,4,1.003,85.0,crop=651_denoising=4_sharpening=1.003
317,651,4,1.169,85.0,crop=651_denoising=4_sharpening=1.169
318,651,4,1.334,85.0,crop=651_denoising=4_sharpening=1.334
319,651,4,1.5,85.0,crop=651_denoising=4_sharpening=1.5
320,651,7,0.01,85.0,crop=651_denoising=7_sharpening=0.01
321,651,7,0.176,85.0,crop=651_denoising=7_sharpening=0.176
322,651,7,0.341,85.0,crop=651_denoising=7_sharpening=0.341
323,651,7,0.507,85.0,crop=651_denoising=7_sharpening=0.507
324,651,7,0.672,85.0,crop=651_denoising=7_sharpening=0.672
325,651,7,0.838,85.0,crop=651_denoising=7_sharpening=0.838
326,651,7,1.003,85.0,crop=651_denoising=7_sharpening=1.003
327,651,7,1.169,85.0,crop=651_denoising=7_sharpening=1.169
328,651,7,1.334,85.0,crop=651_denoising=7_sharpening=1.334
329,651,7,1.5,85.0,crop=651_denoising=7_sharpening=1.5
330,651,10,0.01,85.0,crop=651_denoising=10_sharpening=0.01
331,651,10,0.176,85.0,crop=651_denoising=10_sharpening=0.176
332,651,10,0.341,85.0,crop=651_denoising=10_sharpening=0.341
333,651,10,0.507,85.0,crop=651_denoising=10_sharpening=0.507
334,651,10,0.672,85.0,crop=651_denoising=10_sharpening=0.672
335,651,10,0.838,85.0,crop=651_denoising=10_sharpening=0.838
336,651,10,1.003,85.0,crop=651_denoising=10_sharpening=1.003
337,651,10,1.169,85.0,crop=651_denoising=10_sharpening=1.169
338,651,10,1.334,85.0,crop=651_denoising=10_sharpening=1.334
339,651,10,1.5,85.0,crop=651_denoising=10_sharpening=1.5
340,651,13,0.01,85.0,crop=651_denoising=13_sharpening=0.01
341,651,13,0.176,85.0,crop=651_denoising=13_sharpening=0.176
342,651,13,0.341,85.0,crop=651_denoising=13_sharpening=0.341
343,651,13,0.507,85.0,crop=651_denoising=13_sharpening=0.507
344,651,13,0.672,85.0,crop=651_denoising=13_sharpening=0.672
345,651,13,0.838,85.0,crop=651_denoising=13_sharpening=0.838
346,651,13,1.003,85.0,crop=651_denoising=13_sharpening=1.003
347,651,13,1.169,85.0,crop=651_denoising=13_sharpening=1.169
348,651,13,1.334,85.0,crop=651_denoising=13_sharpening=1.334
349,651,13,1.5,85.0,crop=651_denoising=13_sharpening=1.5
350,651,17,0.01,85.0,crop=651_denoising=17_sharpening=0.01
351,651,17,0.176,85.0,crop=651_denoising=17_sharpening=0.176
352,651,17,0.341,85.0,crop=651_denoising=17_sharpening=0.341
353,651,17,0.507,85.0,crop=651_denoising=17_sharpening=0.507
354,651,17,0.672,85.0,crop=651_denoising=17_sharpening=0.672
355,651,17,0.838,85.0,crop=651_denoising=17_sharpening=0.838
356,651,17,1.003,85.0,crop=651_denoising=17_sharpening=1.003
357,651,17,1.169,85.0,crop=651_denoising=17_sharpening=1.169
358,651,17,1.334,85.0,crop=651_denoising=17_sharpening=1.334
359,651,17,1.5,85.0,crop=651_denoising=17_sharpening=1.5
360,651,20,0.01,85.0,crop=651_denoising=20_sharpening=0.01
361,651,20,0.176,85.0,crop=651_denoising=20_sharpening=0.176
362,651,20,0.341,85.0,crop=651_denoising=20_sharpening=0.341
363,651,20,0.507,85.0,crop=651_denoising=20_sharpening=0.507
364,651,20,0.672,85.0,crop=651_denoising=20_sharpening=0.672
365,651,20,0.838,85.0,crop=651_denoising=20_sharpening=0.838
366,651,20,1.003,85.0,crop=651_denoising=20_sharpening=1.003
367,651,20,1.169,85.0,crop=651_denoising=20_sharpening=1.169
368,651,20,1.334,85.0,crop=651_denoising=20_sharpening=1.334
369,651,20,1.5,85.0,crop=651_denoising=20_sharpening=1.5
370,651,23,0.01,85.0,crop=651_denoising=23_sharpening=0.01
371,651,23,0.176,85.0,crop=651_denoising=23_sharpening=0.176
372,651,23,0.341,85.0,crop=651_denoising=23_sharpening=0.341
373,651,23,0.507,85.0,crop=651_denoising=23_sharpening=0.507
374,651,23,0.672,85.0,crop=651_denoising=23_sharpening=0.672
375,651,23,0.838,85.0,crop=651_denoising=23_sharpening=0.838
376,651,23,1.003,85.0,crop=651_denoising=23_sharpening=1.003
377,651,23,1.169,85.0,crop=651_denoising=23_sharpening=1.169
378,651,23,1.334,85.0,crop=651_denoising=23_sharpening=1.334
379,651,23,1.5,85.0,crop=651_denoising=23_sharpening=1.5
380,651,26,0.01,85.0,crop=651_denoising=26_sharpening=0.01
381,651,26,0.176,85.0,crop=651_denoising=26_sharpening=0.176
382,651,26,0.341,85.0,crop=651_denoising=26_sharpening=0.341
383,651,26,0.507,85.0,crop=651_denoising=26_sharpening=0.507
384,651,26,0.672,85.0,crop=651_denoising=26_sharpening=0.672
385,651,26,0.838,85.0,crop=651_denoising=26_sharpening=0.838
386,651,26,1.003,85.0,crop=651_denoising=26_sharpening=1.003
387,651,26,1.169,85.0,crop=651_denoising=26_sharpening=1.169
388,651,26,1.334,85.0,crop=651_denoising=26_sharpening=1.334
389,651,26,1.5,85.0,crop=651_denoising=26_sharpening=1.5
390,651,30,0.01,85.0,crop=651_denoising=30_sharpening=0.01
391,651,30,0.176,85.0,crop=651_denoising=30_sharpening=0.176
392,651,30,0.341,85.0,crop=651_denoising=30_sharpening=0.341
393,651,30,0.507,85.0,crop=651_denoising=30_sharpening=0.507
394,651,30,0.672,85.0,crop=651_denoising=30_sharpening=0.672
395,651,30,0.838,85.0,crop=651_denoising=30_sharpening=0.838
396,651,30,1.003,85.0,crop=651_denoising=30_sharpening=1.003
397,651,30,1.169,85.0,crop=651_denoising=30_sharpening=1.169
398,651,30,1.334,85.0,crop=651_denoising=30_sharpening=1.334
399,651,30,1.5,85.0,crop=651_denoising=30_sharpening=1.5
400,697,1,0.01,85.0,crop=697_denoising=1_sharpening=0.01
401,697,1,0.176,85.0,crop=697_denoising=1_sharpening=0.176
402,697,1,0.341,85.0,crop=697_denoising=1_sharpening=0.341
403,697,1,0.507,85.0,crop=697_denoising=1_sharpening=0.507
404,697,1,0.672,85.0,crop=697_denoising=1_sharpening=0.672
405,697,1,0.838,85.0,crop=697_denoising=1_sharpening=0.838
406,697,1,1.003,85.0,crop=697_denoising=1_sharpening=1.003
